decision,gs_page,reason,link,notes
no,6,SMTA,https://psycnet.apa.org/record/2019-27246-001,self-esteem; no mention of drugs within article
no,6,NRT,https://link.springer.com/article/10.1007/s40894-018-0090-7,interventions
no,6,SMTA,https://www.tandfonline.com/doi/abs/10.1080/13811118.2019.1663329,Suicidality
no,6,P,https://journals.sagepub.com/doi/full/10.1177/0093854819848803?casa_token=RF1zRzQhUakAAAAA%3AAvPe2TyNpCQQnuYSDvyCAaRBV3q1CTJyIwk0S1doXTAyiBoQv4AgE43L0tioqcpJHP2pBNrU8E0e,LGB youth
no,6,NRT,https://www.karger.com/Article/Abstract/493559,aging
no,6,NRT,https://link.springer.com/article/10.1186/s12914-015-0072-9,healthcare access
no,6,NRT,https://www.tandfonline.com/doi/full/10.1080/00224499.2020.1728514?casa_token=vNAMW1UT0YgAAAAA%3ApqgSihSl1rg0A6aYWsKGgcRYNvTrVRbj946mVoUTbVQbDaJLWNtgmAvGA3X4Lv7ZdN7elVPrP78n,syndemic interventions
no,6,P,https://www.tandfonline.com/doi/abs/10.1080/19361653.2020.1766393,LGBTQ+ youth
no,6,NRT,https://journals.sagepub.com/doi/abs/10.1177/1534484314549456,career
no,7,NRT,https://www.liebertpub.com/doi/abs/10.1089/lgbt.2018.0204,cancer survivors
no,7,SMTA,https://link.springer.com/article/10.1007/s40894-019-00128-8,not substance use trajectories
no,7,NRPS,https://academic.oup.com/tbm/article-abstract/10/5/1200/5921062,useful to justify that interventions must address stigma
no,7,NRT,https://www.tandfonline.com/doi/abs/10.1080/19359705.2019.1622616,Depression interventions
no,7,NRT,https://link.springer.com/article/10.1007%2Fs10508-020-01717-8,sex hormones
no,7,NRT,https://www.tandfonline.com/doi/abs/10.1080/15332691.2019.1667937,interventions
no,7,SMTA,https://bmjopen.bmj.com/content/9/11/e031541.abstract,NSSI
no,8,NRT,https://d1wqtxts1xzle7.cloudfront.net/53376262/IJCMA-2332-2799-03-201.pdf?1496488861=&response-content-disposition=inline%3B+filename%3DSocial_Stigma_Discrimination_Marginaliza.pdf&Expires=1612967807&Signature=gc6~MykzQZe~WFpkf77mIDJ2T8EMDlI2P~AM4pi2vDVjaPphfPtAP-Na42AmVORuqUtNN8GqQVJsPzZFhRMSFRhh~0ieulA3FjCvENlbwW3reB7wkDIrmEjarRMa97ThQ6ru51eZ5KCwCZsgrimwIi1AI5yEbmtsiYg4VlkMUt4-xeYSTYPV4zQ5kHllG~g8L5xhbl1YJ~fBZJad8S2W6taaG5PWgbWCE7Ig3CO4TM396QN~g5hEN0gbuZEf8C9FRUIxMp0ioCVPaDVENNIAe8D5v7TXpeBU8oxTAksjjV7FAKl65SzEpjJV9AmbT1X~UfUUjmcAEib8wp6Mj1KscQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,Tuberculosis
no,8,P,https://link.springer.com/article/10.1007%2Fs10943-020-00989-7,LGBTQ+ youth
no,8,NLT,https://www.emerald.com/insight/content/doi/10.1108/JMHTEP-09-2019-0047/full/html,healthcare experiences
no,8,SA,https://search.proquest.com/openview/1dd68c64a9e4a75131e8d5777429f442/1?pq-origsite=gscholar&cbl=18750&diss=y,Dissertation
no,8,NLT,https://www.cambridge.org/core/journals/ageing-and-society/article/understanding-the-structure-experiences-and-challenges-of-social-support-for-older-lesbian-gay-and-bisexual-people-a-systematic-review/3E032E36DDB3CF3C99F3CC10654A9802,social support challenges among older LGB adults
no,8,NLT,https://academic.oup.com/psychsocgerontology/article/75/8/1758/5849288?login=true,healthcare experiences
no,8,P,https://link.springer.com/article/10.1007/s40894-020-00146-x,LGBTQ+ youth
no,8,SA,https://search.proquest.com/openview/a029d4692c740bec44433c6250ebdb56/1?pq-origsite=gscholar&cbl=18750&diss=y,Dissertation
no,8,NLT,https://www.tandfonline.com/doi/full/10.1080/15313204.2020.1827336?casa_token=TwIX0yDOreYAAAAA%3AcO0xrc876FlZQ6JPtNj4vqv8ad9tWfs-aePFuO2YLb_QTarcXkwVOfZg05luqRp9CO-pWm0RpYpc,microaggressions and wellbeing
no,8,SMTA,http://repositorio.cuc.edu.co/handle/11323/1153,sexual satisfaction
no,9,NRT,https://www.researchgate.net/profile/Martina_Zemp2/publication/342330426_The_impact_of_sexual_orientation_laws_on_same-gender_parent_families_A_mixed_methods_systematic_review_and_proposal_of_an_integrative_model_Study_Protocol/links/5eedd02192851ce9e7f49a63/The-impact-of-sexual-orientation-laws-on-same-gender-parent-families-A-mixed-methods-systematic-review-and-proposal-of-an-integrative-model-Study-Protocol.pdf,laws
no,9,NRT,https://www.tandfonline.com/doi/abs/10.1080/19317611.2020.1865498,stigma pedophilia
no,9,NRT,https://psyarxiv.com/9wu42/,intervention
no,9,P,https://repositorio-aberto.up.pt/bitstream/10216/102465/2/178961.pdf,LGB youth
no,9,SMTA,https://www.tandfonline.com/doi/full/10.1080/26895269.2020.1765446,romantic relationships
no,9,NRT,https://onlinelibrary.wiley.com/doi/abs/10.1111/cpsp.12377,reparative therapy
no,9,P,https://www.sciencedirect.com/science/article/abs/pii/S0306460320306742,transgender
no,9,SMTA,https://journals.sagepub.com/doi/abs/10.1177/1059840520970847,Suicidality
no,9,NRT,https://www.sciencedirect.com/science/article/abs/pii/S0277953620304330,cancer
no,9,NRT,https://link.springer.com/article/10.1007/s10880-020-09757-x,fMRI
no,10,SMTA,https://guilfordjournals.com/doi/abs/10.1521/aeap.2019.31.5.463,HIV risk factors
no,10,NRT,https://www.tandfonline.com/doi/abs/10.1080/19419899.2020.1756390,review of measures
no,10,SA,https://etd.ohiolink.edu/apexprod/rws_olink/r/1501/10?clear=10&p10_accession_num=wsupsych1568143257483313,Dissertation
no,10,SMTA,https://link.springer.com/article/10.1007/s40429-019-00289-5,porn use
no,10,SMTA,https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences/article/prevalence-of-depression-anxiety-and-suicide-among-men-who-have-sex-with-men-in-china-a-systematic-review-and-metaanalysis/1F0CDEE61FF834D9053C759F27BA951E,"depression, axiety, suicide"
no,10,P,https://www.researchgate.net/profile/Kate_Collier/publication/236036446_Sexual_Orientation_and_Gender_IdentityExpression_Related_Peer_Victimization_in_Adolescence_A_Systematic_Review_of_Associated_Psychosocial_and_Health_Outcomes/links/560716dd08aea25fce3998be/Sexual-Orientation-and-Gender-Identity-Expression-Related-Peer-Victimization-in-Adolescence-A-Systematic-Review-of-Associated-Psychosocial-and-Health-Outcomes.pdf,peer victimization among adolescents
no,10,NRT,https://www.redalyc.org/pdf/5137/513754280014_2.pdf,families
no,10,SA,https://search.proquest.com/openview/3b0300bfc393681f19a4b9ee76b09308/1?pq-origsite=gscholar&cbl=44156,Dissertation
no,1,NRPS,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1360-0443.2011.03601.x,sys; useful to justify interventions must address stigma
no,1,SMTA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0162688,sys
no,1,SMTA,https://www.tandfonline.com/doi/abs/10.1080/00918369.2017.1317467,sys
no,1,SMTA,https://content.sciendo.com/view/journals/gp/2/1/article-p51.xml,sys
no,1,SA,https://search.proquest.com/openview/28ef74a321373e1a6a9de13a0d2df354/1?pq-origsite=gscholar&cbl=18750&diss=y,sys
no,1,NRPS,https://www.liebertpub.com/doi/abs/10.1089/lgbt.2019.0328,sys
no,1,SMTA,https://www.tandfonline.com/doi/abs/10.1080/00224499.2012.746279,sys
no,1,SMTA,https://onlinelibrary.wiley.com/doi/abs/10.1111/jasp.12140,sys
no,1,SMTA,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2016.303088,sys
no,1,NL,https://www.tandfonline.com/doi/abs/10.1080/00207594.2012.729839,sys
no,1,NRPS,https://www.tandfonline.com/doi/abs/10.1080/10538720.2013.806877,sys
no,1,SMTA,https://www.tandfonline.com/doi/shareview/10.1080/00918369.2018.1500780,sys
no,1,SMTA,http://repositorio.cuc.edu.co/handle/11323/1153,sys
no,1,SMTA,https://link.springer.com/article/10.1007/s13178-020-00517-y,sys
